,Xt_MPI 1,Xt_MPI 3,Xt_MPI 6
iM2,0.2820293861046614,0.34547096027429647,0.33486465590188674
iM1,0.3335595489603258,0.3827954726092996,0.3616620828589223
iAI,0.35218651838021664,0.39598419476556357,0.3717422757791923
iPrL,0.17643277298739551,0.2714888284800581,0.2884862793725892
iMO,0.21687512945475806,0.28869539863340754,0.29693234036020555
iVO,0.3019182550383963,0.39893175795300234,0.3854873395012116
iDP,0.16390009207877726,0.2662555072005129,0.2777187913140624
cM2,0.20982529708114334,0.27384509267144597,0.27567554193469873
cM1,0.27238615019260515,0.3234039155315197,0.3129544588682876
cAI,0.2539885690346913,0.308663252327114,0.3020829055576953
cPrL,0.11101897780131244,0.18903015503501713,0.2153365371468773
cMO,0.12525004436002124,0.1940771119419293,0.21552466951703184
cVO,0.16892636064331082,0.2579375466550177,0.2690524817617973
cDP,0.11340272200646681,0.2079794334455633,0.22629402437426055
iCg,0.28531312069706766,0.3547577208325846,0.34873910956211
iM,0.3091769898360905,0.36522905684140283,0.3490455587289564
iS1,0.3212122218695149,0.4371767424994819,0.4154174018524928
iAI-b,0.25071273818308254,0.3125398680644441,0.3178822702366771
iCl,0.18088502116588628,0.2854735115774174,0.3094515316040198
iDEn,0.03761284740710641,0.15270514964022805,0.2378073063556039
iPir,0.062182872012567954,0.1882025229372912,0.25833332351958005
iAcb,0.012262738834746689,0.05840908564127073,0.12809077849141817
iot,0.022621052306450184,0.08544291827714379,0.15889901116633393
iCPu,0.9206929537752022,0.8163867491423569,0.6987723913654488
iLS,0.006594884999506218,0.034879204570166016,0.08129545907471164
iMS,0.020659096713710735,0.08390455397390657,0.13971528943813435
cCg,0.10367471345288519,0.1744918685418655,0.1991341408780586
cM,0.2427435566190983,0.3000669457747044,0.29539857818080256
cS1,0.14470251086056599,0.2504508451598987,0.26370564108653716
cAI-b,0.14154389782689686,0.20176251968247333,0.2203732220712472
cCl,0.09392653745923145,0.17441781801345183,0.2083352496383556
cDEn,0.009978111972195789,0.06561441791159393,0.13206304056712684
cPir,0.023584325118134308,0.09149519463105953,0.15097844105474517
cAcb,0.003121572671032102,0.023439938717901156,0.06606487221036328
cot,0.010956565580917748,0.045998285871315395,0.09396958258944153
cCPu,0.004446283517694999,0.026705971301237197,0.0640131841176034
cLS,0.004274950332344281,0.02551399093162836,0.06434517133514035
cMS,0.026555040067195633,0.09474306511584614,0.1515935980107993
iRSC,0.14976179581033786,0.2845529490326142,0.30790498729050125
iS1-b,0.2427496507735852,0.39258434606900733,0.3915865535859733
iS2,0.30948833397662223,0.4405021362511237,0.42326321048461774
iIns,0.0461677918848683,0.14788026247022315,0.19996212525757426
iAIP,0.2786929868643076,0.36712365246680095,0.3597042215283905
iEn,0.06768631938529537,0.1809620896887095,0.24506831166933216
iHipp,0.005102876494058288,0.02884370674436728,0.06991923031424899
iMDThal,0.22918491714160147,0.2727588980488453,0.28161833672324704
iLDThal,0.1476368878705283,0.3079238297515127,0.3530159331323287
iVLThal,0.11099853071446979,0.2413581566583739,0.27418667744843156
