,Cg,Acb,TC,AI,AI-b,AIP,MDThal,DpMe,Au,BLP,BLA,BMA,CA,Cl,PMCo,CPu,PnO,Hipp,Ect,LEnt,Ent,DEn,En,IC,LDThal,CauThal,LS,Mamm,M1,M2,M,SC,MS,DP,MO,VO,PAG,PS,PRh,Pir,PrL,VLThal,RSC,RSC-b,RSA,VMThal,SuC,ot,SN,S2,S1,S1-b,SuM,TeA,Ins,V,V-b,VTA,Cg,Acb,TC,AI,AI-b,AIP,MDThal,DpMe,Au,BLP,BLA,BMA,CA,Cl,PMCo,CPu,PnO,Hipp,Ect,LEnt,Ent,DEn,En,IC,LDThal,CauThal,LS,Mamm,M1,M2,M,SC,MS,DP,MO,VO,PAG,PS,PRh,Pir,PrL,VLThal,RSC,RSC-b,RSA,VMThal,SuC,ot,SN,S2,S1,S1-b,SuM,TeA,Ins,V,V-b,VTA
Cg,0.70376136,0.076145675,0.027158017,0.011908716,0.011292776,0.007854838,0.036932296,0.178829686,0.013888641,0.000919893,0.000766716,0.000134585,0.0,0.033932201,0.0,2.422853077,0.090327094,0.002868598,0.056865159,0.038979994,0.022025661,0.004909092,0.002454546,0.101558871,0.225223895,0.034242678,0.014665787,0.003866948,0.079252352,0.765437523,0.422344938,0.019376845,0.0,0.075323033,0.124623868,0.232148635,0.427388642,0.014719202,0.013356147,0.017977678,0.311889855,0.030863339,0.420255077,0.326655742,0.420255077,0.064854369,0.510003866,0.005956581,0.029640206,0.0,0.0,0.042450567,0.01712483,0.03101567,0.0,0.290069834,0.126735617,0.060848129,0.606396371,0.00913552,0.002279021,0.027469733,0.019302713,0.014381304,0.003626844,0.001984038,0.001079004,0.000149697,0.000398204,4.43589e-05,0.0,0.063569853,0.0,0.426656996,0.027307478,0.000137625,0.01399696,0.030776072,0.015832503,0.005540864,0.002770432,0.001626669,0.002256389,7.13436e-05,0.002839437,0.002153673,0.0,0.232920521,0.11646026,0.000896143,0.000465943,0.047697484,0.032377575,0.075940502,0.106485249,0.001546546,0.017260779,0.010621275,0.110430765,0.020847081,0.099847862,0.069522102,0.099847862,0.001560321,0.011269783,0.0,0.000384521,0.00204228,0.00060581,0.003758396,0.007005743,0.004826841,0.005924506,0.014043015,0.005292073,0.008901907
Acb,0.0,0.074182913,0.065485206,0.0,0.003016284,0.0,0.00088088,0.001602693,0.0,0.009288887,0.004644443,0.005082427,0.00679685,0.0,0.0,0.00870458,0.0,0.0,0.0,0.0,0.0,0.010101481,0.006036801,0.001754305,0.0,0.000657235,0.059346056,0.0,0.002927303,0.003885731,0.003406517,0.0,0.0,0.0,0.016581259,0.0,0.0,0.0,0.0,0.167933731,0.00137311,0.003004214,0.0,0.0,0.0,0.002499197,0.000282181,0.471651366,0.050703048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042547745,0.0,0.003086047,0.0,0.000406839,0.000705754,0.000639729,0.000193313,0.0,0.000138615,0.0,8.05905e-05,0.0002943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005887764,0.003320935,0.000386233,0.0,1.15329e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001514087,2.0163e-05,0.0,0.0,0.0,0.02596831,0.0,0.001012637,0.0,0.0,0.0,2.71295e-05,0.000487826,0.0,0.000275105,0.001555504,0.00041705,0.000232068,0.0,4.34706e-05,0.000278225,0.0,1.62717e-05,0.001795182
TC,0.0,0.01076834,0.108167074,0.0,0.0,0.0,0.013860905,0.094199954,0.0,0.045307503,0.040935353,0.025739456,0.052018903,0.0,0.027898632,0.0,0.011207096,0.001134074,0.0,0.008252983,0.004126491,0.0,0.003944735,0.091016874,0.006027834,0.014658001,0.158121889,0.015183733,0.0,0.0,0.0,0.00741704,0.072916901,0.0,0.0,0.000411915,0.616606284,0.001363902,0.0,0.028233529,0.0,0.040169555,0.0,0.0,0.0,0.007315967,0.195623596,0.161050616,0.003557321,0.0,0.0,0.000292455,0.028242737,0.0,0.0,0.0,0.0,0.030707973,0.0,0.0,0.076012241,0.0,0.0,0.0,0.007912739,0.038351608,0.0,0.01822359,0.018861439,0.017804779,0.02434112,0.0,0.015771648,0.0,0.006666672,0.0,0.0,0.0,0.0,0.0,0.001235092,0.040089603,0.001706429,0.003728946,0.036275028,0.002626944,0.0,0.0,0.0,0.004094474,0.028453505,0.0,0.0,0.0,0.332751132,0.0,0.0,0.0,0.0,0.023391839,0.0,0.0,0.0,0.002425493,0.11531073,0.058896026,0.001124887,0.000699749,0.000363983,0.000245449,0.007858629,0.000278448,0.0,0.0,0.0,0.014373452
AI,0.0,0.0,0.0,0.311219424,0.211814808,0.330566552,0.013679637,0.0,0.000242972,0.068290204,0.034145102,0.013134345,0.064917905,0.133106657,0.0,2.97638939,0.0,0.0,0.0,0.0,0.0,0.0,0.013013837,0.0,0.0,0.0003188,0.006691958,0.0,0.351459138,0.0,0.175729569,0.0,0.000215921,0.0,0.0,0.0,0.0,0.0,0.151298459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117985737,0.005993673,0.0,0.005165037,0.0,0.0,0.0,0.196026649,0.0,0.0,0.0,0.011511667,0.166888128,0.0,0.946155474,0.430616628,0.081325313,0.00503636,0.000623354,0.0,0.040021823,0.020733567,0.000147373,0.014230873,0.128302233,0.0,1.771004351,0.0,0.0,0.008942621,0.0,0.0,0.0,0.001245914,0.0,0.0,0.002568412,0.009533253,0.0,0.416081718,0.218006034,0.317043876,3.62863e-05,0.0,0.000463839,0.057212176,0.056705428,0.0,0.0,0.009386009,0.0,0.097798615,0.0,0.0,0.0,0.0,0.0,0.0,0.008734526,0.000644372,0.017643505,0.011328874,0.0,0.0,0.0,0.066155633,0.0,0.0,0.0
AI-b,0.089091663,1.650240251,0.072525433,0.58024648,0.436141508,0.141770339,0.025842651,0.035622298,0.019634746,0.102843414,0.071239693,0.006776559,0.063717813,0.19473299,0.000161309,2.316274131,0.003742324,0.001709625,0.230978777,0.097860979,0.05749402,0.353709122,0.18265073,0.035716256,0.0,0.000931144,0.034246234,0.000594597,0.63794219,0.879503914,0.758723052,1.12357e-05,7.19735e-05,0.63180169,0.295467198,0.60958437,0.088969952,0.00613633,0.05043282,0.824979427,0.325372539,0.02139562,0.013814521,0.011271462,0.013814521,0.016186673,0.007134429,0.528579144,0.033568181,0.053001969,0.040672633,0.003906078,0.005222975,0.224931131,0.079542628,0.017204262,0.014115303,0.040526778,0.039660864,0.163496314,0.001059093,0.356866796,0.250706559,0.027108438,0.022646639,0.002740682,0.005046896,0.013340608,0.007955126,0.000185556,0.004743624,0.043238526,0.0,0.813333614,0.000878359,0.000651276,0.020132473,0.008821635,0.004574679,0.014168761,0.007499685,0.002756208,0.0,0.000942087,0.004436236,4.40574e-05,0.23825275,0.258230167,0.248241458,3.50566e-05,0.001575834,0.257298613,0.107843028,0.20692043,0.102081199,0.000488492,0.00312867,0.065990628,0.123696805,0.014262404,0.000594789,0.000438655,0.000594789,0.006097926,0.001983263,0.019797977,0.00059652,0.005881168,0.024989052,0.000785032,0.001308872,0.036506768,0.022051878,0.0,4.45074e-05,0.001548775
AIP,0.039485547,0.486595031,0.041829649,0.630972509,0.355623613,0.0,0.014513816,0.076322997,0.0,0.230393967,0.115196984,0.029823325,0.391946684,0.030763284,0.0,1.548397199,0.009047304,0.0,0.0,0.143234495,0.089688492,0.023894083,0.046999882,0.07594784,0.0,0.008624039,0.00325379,3.91722e-05,0.299218592,0.253374015,0.276296303,0.0,0.0,0.097267529,0.042743006,0.068771718,0.064006936,0.012305367,0.098458215,0.0,0.065990552,0.014759817,0.037925598,0.025868388,0.037925598,0.006009991,0.0,0.239299167,0.017642018,0.097372807,0.047998529,0.003730073,0.00286893,0.0,0.0,0.0,0.0,0.024318756,0.001602627,0.177784612,0.00499579,0.167489945,0.085401492,0.028266977,0.020533602,0.003305208,0.004305727,0.071266807,0.03980966,0.001438774,0.100754965,0.002504076,0.001441749,0.0,0.000324947,0.0,0.0,0.064461695,0.032230847,0.034289016,0.025127803,0.00333228,0.0,0.001166328,0.0,0.0,0.0,0.0,0.0,2.75549e-06,0.0,0.0,0.0,0.0,0.079312929,2.94458e-05,0.02851683,0.030741591,0.001661203,0.020465739,0.0,0.0,0.0,0.00485771,0.0,0.037910779,0.001474258,0.0,0.0,0.0,0.001663074,0.0,0.0,0.0,0.0,0.008580341
MDThal,0.286297025,1.737705331,0.032886355,0.180755535,0.116853743,0.07881407,0.039728116,0.021692362,0.0,0.153651468,0.083294762,0.008068041,0.103554213,0.132900748,0.004420386,2.003571073,0.083163543,0.000505779,0.054668826,0.014121654,0.007391669,0.109351393,0.057981504,0.018816036,0.0,0.0,0.013914235,0.011249481,0.06072471,0.187940729,0.12433272,0.00145995,6.04104e-05,0.074944232,0.116034712,0.091340819,0.382567736,0.004187142,0.040224666,0.108165114,0.24953524,0.048136132,0.000920729,0.002956089,0.000920729,0.016625575,0.0,0.392222677,0.0,0.02655891,0.006639727,0.000530008,0.019704438,0.017371855,0.03284869,0.002479965,0.0,0.089948098,0.018834743,0.485044995,0.050110956,0.097836727,0.070927469,0.054211849,0.030251517,0.028116795,0.001241907,0.051375587,0.030121711,0.010655087,0.034037879,0.049753896,0.004751196,0.439021195,0.197342789,0.0,0.014588196,0.055129942,0.035710156,0.025928375,0.015263701,0.025410322,0.0,0.000431341,0.011774301,0.012148434,0.0,0.002812283,0.001406142,0.001062954,0.0,0.015336948,0.052704424,0.007266115,0.438185976,0.003296209,0.007217961,0.014257951,0.050198098,0.052599492,0.006854323,0.005312722,0.006854323,0.027565,0.024773902,0.100800308,0.003874819,0.007668049,0.002004279,0.00168562,0.039488938,0.004632652,0.013371579,0.002428529,0.001993207,0.134788874
DpMe,0.0,0.0,0.022387375,0.0,0.0,0.0,0.019763453,0.165677675,0.0,0.0,0.001441191,4.72443e-05,0.000321492,0.005393013,0.0,0.511167414,0.102044632,0.0,0.0,0.0,0.0,0.0,0.0,0.163892289,0.067199455,0.021364057,0.0,0.0,0.0,0.0,0.0,0.001125237,0.0,0.0,0.0,0.0,0.081817284,0.0,0.0,0.0,0.0,0.004739178,0.0,0.0,0.0,0.060452267,0.590901743,0.034903402,0.035621121,0.0,0.0,0.0,0.00063232,0.0,0.0,0.0,0.0,0.065903158,0.0,0.0,0.000942072,0.0,0.0,0.0,0.004546783,0.074429152,5.63053e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006105006,0.0,0.0,0.0,0.0,0.0,0.0,0.047184028,0.0,0.004202113,0.000155815,0.0,0.0,0.0,0.0,0.007228381,0.0,0.0,0.0,0.0,0.059496342,0.0,0.0,0.0,0.0,0.004719895,0.0,0.0,0.0,0.006956214,0.059540673,0.0,0.000453415,0.000889819,0.000287887,0.000160994,5.61488e-05,0.0,2.6011e-05,0.0,0.0,0.00509696
Au,0.004706327,0.099640363,0.009176366,0.023587358,0.016879645,0.00389416,0.002905105,0.090130302,0.668274437,0.059939702,0.058550887,0.005284582,0.035332158,0.023687381,0.000491622,0.910553466,0.010857789,0.007351583,0.196773866,0.035158755,0.019442813,0.026718188,0.013535291,0.229565832,0.0,0.054375048,0.001312497,6.2902e-05,0.186045806,0.250796045,0.218420926,0.00261928,1.57442e-06,0.03489875,0.012282544,0.028306493,0.144241055,0.000959955,0.042237285,0.002617508,0.022402908,0.004780806,0.000302801,0.003421109,0.000302801,0.041265533,0.19342067,0.027136373,0.006934579,0.387653033,0.19563381,0.543896293,0.000103258,0.506257237,0.08828306,0.12303363,0.037893708,0.007934825,0.000746356,0.034612244,0.000549127,0.009237747,0.009704462,0.024997542,0.001761592,0.002330368,0.266098204,0.005782465,0.0061386,0.000492788,0.001464571,0.012467414,0.000709909,0.208709868,0.00152155,0.010719703,0.053436503,0.043327671,0.021735514,0.00987528,0.005143238,0.004540564,1.80004e-05,0.000160523,0.000259061,1.1234e-05,0.01552229,0.022021516,0.018771903,0.000215455,0.0,0.007941485,0.00310305,0.007469645,0.038476393,2.76325e-05,0.037772746,0.023808419,0.004284117,0.005697089,0.0,0.000264675,0.0,0.000294176,0.011385002,0.010116054,0.000146599,0.004939486,0.002765135,0.057591721,1.00451e-05,0.13510341,0.026271013,0.030328499,0.009967196,0.000623639
BLP,0.297242274,3.242650737,0.014752558,0.350674217,0.276814271,0.042854762,2.41862e-05,0.0,0.006210621,0.041228457,0.020614228,0.028375694,0.281330685,0.381301754,0.0,6.248227759,0.0,0.050769603,0.0,0.0,0.060759106,0.483934721,0.265330338,0.0,0.0,0.0,0.059026794,0.0,0.29225642,0.760232203,0.526244312,3.20474e-06,0.004661251,0.175498766,0.288799369,0.203565962,0.0,0.030269377,0.019924074,0.0,0.652396534,0.0,0.005065421,0.003948709,0.005065421,0.0,0.0,1.238836465,0.0,0.062530607,0.028251201,0.030684145,0.0,0.0,0.0,0.014922202,0.006400346,0.0,0.029137849,0.575333181,0.001461777,0.071484712,0.060952054,0.06945206,0.0,0.0,0.011046229,0.156631361,0.089659484,0.001562859,0.030326735,0.085736315,0.0,2.054216654,0.0,0.000240166,0.064111838,0.030638723,0.016187431,0.110993374,0.062430877,0.0,0.0,0.0,0.00410876,0.0,0.016260585,0.065950188,0.041105387,0.0,0.002542278,0.022101639,0.029381832,0.0213427,0.000123966,0.000876459,0.021027628,0.089579072,0.056005098,0.0,0.000523259,0.000517068,0.000523259,0.0,0.000167163,0.231554807,0.000219132,0.007343604,0.003395008,0.000404141,0.0,0.076254761,0.014287838,0.001961946,0.001041355,0.0
BLA,0.148621137,1.621325369,0.020033283,0.175337109,0.138407135,0.021427381,0.000315184,0.0,0.092215853,0.347943345,0.236748315,0.162603065,0.332460231,0.190650877,0.258972586,3.124113879,0.0,0.0531374,0.869516436,0.31959362,0.209719629,0.24196736,0.140262939,0.000306896,0.0,0.00147971,0.029513397,0.0,0.14612821,0.380116102,0.263122156,0.000137433,0.003813618,0.087749383,0.144399684,0.101782981,0.0,0.033562737,0.174180674,0.0,0.326198267,0.000733845,0.002821257,0.002193351,0.002821257,0.0,0.0,0.619418232,0.0,0.031265304,0.0141256,0.039936992,0.0,0.682645477,0.0,0.007461101,0.005637848,0.0,0.014568925,0.287666591,0.000730888,0.035742356,0.030476027,0.03472603,1.11139e-05,0.0,0.005523114,0.07831568,0.044829742,0.00114416,0.015163367,0.042868158,0.0,1.027108327,0.0,0.000120083,0.032055919,0.015319362,0.008093715,0.055496687,0.031215438,0.0,3.22487e-05,0.0,0.00205438,0.0,0.008130292,0.032975094,0.020552693,1.52624e-05,0.001271139,0.011050819,0.014690916,0.01067135,6.19829e-05,0.00043823,0.010513814,0.044789536,0.028002549,0.0,0.00026163,0.000258534,0.00026163,0.0,8.35817e-05,0.115777404,0.000109566,0.003671802,0.001697504,0.00020207,1.25429e-05,0.038127381,0.007143919,0.000980973,0.000520677,0.0
BMA,0.0,0.751102085,0.131128847,0.082179991,0.063163637,0.126009343,0.003506312,0.003728788,0.008673861,0.756774764,0.467808371,0.363585751,0.240413815,0.000871187,0.543363786,0.0,0.00042138,0.056915594,0.164704066,0.704581446,0.393893756,0.327558254,0.278452972,0.003865831,0.0,0.000208334,0.05678949,0.00048706,0.0,0.0,0.0,1.15709e-05,0.020332865,0.0,0.004515951,0.004108771,0.009772533,0.001473596,0.120370168,1.877860488,0.0,0.004868274,0.0,0.0,0.0,0.001631057,0.002788377,0.559396492,0.001655899,0.0,0.0,0.0,0.003619738,0.077104337,0.003320599,0.0,4.5633e-05,0.010562789,0.0,0.139857886,0.006192443,0.0,0.0,0.0,0.002107184,0.0,0.0,0.0,0.002755636,0.030262734,0.012495225,0.0,0.051114036,0.0,5.08225e-05,0.000949097,0.005422837,0.016950545,0.008475272,0.006801705,0.005937814,2.68721e-05,1.12019e-07,6.74028e-07,0.010571323,0.0,0.0,0.0,0.0,4.73873e-06,0.010927522,0.0,0.001523397,0.0,0.001503639,0.0,0.007277917,0.050304873,0.0,0.002885537,0.0,0.0,0.0,2.78204e-05,3.19731e-05,0.054738726,5.85616e-06,0.0,1.28849e-05,0.0,0.000508895,0.0,0.0,0.0,5.83444e-07,0.000265181
CA,0.008666783,0.828558262,0.011283663,0.0,0.039738201,0.194107607,0.00036456,0.04466233,0.0,0.0,0.0,0.0,0.0,0.011523098,0.0,1.510641427,0.003995503,0.000409542,0.0,0.0,0.0,0.000270115,0.000135058,0.047067741,0.0,0.001304299,0.0,0.009020411,0.016171381,0.027292708,0.021732045,0.0,0.0,0.018115844,0.003205973,0.001996617,0.069065796,0.002364342,0.0,0.0,0.029163904,0.004267967,0.003881105,0.002716208,0.003881105,0.000502486,0.0,1.262276629,0.003913764,0.00884298,0.017572553,0.007134475,0.002221037,0.0,0.078309009,0.00023103,0.0013753,0.011331648,0.002749886,0.387689087,0.0,0.026166441,0.024971262,0.032660985,0.000575754,0.0,0.001950478,0.062224009,0.035795475,3.83856e-07,0.020443391,0.017605452,0.0,0.790790361,5.24008e-07,0.00083812,0.034552866,0.009303533,0.005355312,0.048829006,0.027539845,0.0,5.08149e-06,0.0,0.000160873,0.001932989,0.010679465,0.022745775,0.01671262,0.0,0.0,0.003472251,0.014372807,0.007273785,0.0,0.000625189,0.012837134,0.048824165,0.018271858,0.002969737,0.001779582,0.001480379,0.001779582,0.0,0.000328711,0.199203914,0.000481988,0.014640064,0.00443644,0.00391431,0.003583372,0.029940224,0.008705055,0.002286787,0.001477671,0.0
Cl,0.704544746,0.0,0.188955369,1.069983592,1.05575773,0.13021353,0.067004049,0.0,0.331283088,0.482781949,0.333586365,0.110890744,0.129127457,0.549397407,0.0,0.0,0.0,0.0,1.419555107,2.95303208,1.716416198,1.433348403,0.757542366,0.005252225,0.0,0.006945275,0.030727809,0.000683956,1.149956297,1.624981631,1.387468964,0.0,0.0,0.006302815,0.220934701,0.14119996,0.316597082,0.238984351,1.339533244,2.111329114,0.557007883,0.120618601,0.547182101,0.440513639,0.547182101,0.038413975,0.0,0.649079752,0.115446656,3.630893226,1.130961445,0.151621171,0.008948182,0.900594051,0.517123064,0.354270482,0.345134648,0.142952333,0.041819693,0.0,0.009258466,0.0,0.0,0.0,0.101664669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000258042,0.0,0.003032798,0.001465227,0.000163512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062145524,0.000360719,0.0,0.0,0.0,0.124982279,0.003307867,0.002205245,0.003307867,0.015130967,0.0,0.0,0.0,0.0,0.0,0.0,0.001028528,0.0,0.0,0.0,0.0,0.012503076
PMCo,0.0,0.0,3.35582e-05,0.0,0.0,0.002797799,9.66505e-05,0.0,0.0,0.002399315,0.001199657,0.407748446,0.036350542,0.0,0.508120807,0.0,0.0,0.026109548,0.0,0.430562021,0.236173748,0.111228452,0.093104839,0.0,0.0,0.0,0.059910197,0.0,0.0,0.0,0.0,0.0,0.024707712,0.0,0.0,0.0,0.0,0.0,0.0,0.881757234,0.0,0.0,0.0,0.0,0.0,0.000222819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044511928,0.000403017,0.0,0.147075727,0.0,0.0,9.54044e-05,0.0,0.0,0.0,0.0,0.0,8.44828e-06,0.0,1.12684e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0010065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000116403,6.019e-05,0.0,2.00997e-05,0.0,4.08395e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPu,0.0,0.0,0.0,0.009178084,0.011599238,0.068206782,0.0,0.0,0.000518139,0.005876258,0.00367682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002188144,0.0,0.0,0.00038507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029420893,0.164481596,0.0,0.0,0.0,0.0,0.01312712,0.063223559,0.0,0.0,0.0,0.0,0.0,4.1192e-05,0.0,0.0,0.0,6.73081e-06,0.0,0.0,0.0,0.0,3.39221e-05,0.0,0.0,0.0,0.0,0.0,0.000268871,0.0,0.0,0.0,0.0,0.0,1.91891e-05,0.0,2.19729e-07,8.73885e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62913e-05,0.0,0.0,0.0,0.0,5.91236e-05,4.19824e-05,5.91236e-05,0.0,0.000179201,0.0,0.000160877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.77092e-06,0.0
