,ROI,x,y,z
14,iCg,6150,2250,4550
21,iAcb,7300,6500,4550
49,iTC,6350,6350,6550
2,iAI,8150,4400,3300
17,iAI-b,9200,4700,4550
42,iAIP,9950,5050,6550
45,iMDThal,6250,4000,6550
81,iDpMe,6850,3450,8150
70,iAu,10050,2650,8150
75,iBLP,9200,5850,8150
51,iBLA,8900,5900,6550
52,iBMA,8150,7000,6550
50,iCA,8400,5750,6550
18,iCl,8650,4950,4550
76,iPMCo,8650,6600,8150
23,iCPu,8200,4150,5550
108,iPnO,6600,5500,9550
44,iHipp,7450,2100,7550
72,iEct,10300,4150,8650
74,iLEnt,9900,5600,8150
103,iEnt,9800,4850,9550
19,iDEn,8550,5500,4550
43,iEn,9400,5500,6550
107,iIC,7000,3800,9550
46,iLDThal,7050,3250,6550
78,iCauThal,7900,3850,8150
24,iLS,6100,4300,4550
80,iMamm,6000,6150,8150
1,iM1,7950,2700,3300
0,iM2,6600,2200,3300
15,iM,7350,1800,4550
77,iSC,6450,2400,8150
25,iMS,5800,6150,4550
6,iDP,7550,4150,3300
4,iMO,6100,3900,3300
5,iVO,6600,3700,3300
83,iPAG,6100,3050,9200
104,iPS,8350,3300,9550
73,iPRh,10300,4300,8800
20,iPir,9200,6600,6200
3,iPrL,6150,3100,3300
47,iVLThal,6150,5000,6550
38,iRSC,6350,850,6550
68,iRSC-b,6150,850,8150
105,iRSA,7200,1250,9550
48,iVMThal,7250,4150,6550
106,iSuC,6450,1950,9550
22,iot,7300,7250,4550
79,iSN,7250,5250,8150
40,iS2,9750,2850,6550
16,iS1,9200,3050,4550
39,iS1-b,8550,1600,6550
100,iSuM,5950,5650,8150
71,iTeA,10450,3650,8550
41,iIns,10100,4400,6550
69,iV,8250,900,8150
102,iV-b,8500,1500,9550
82,iVTA,6550,5250,8150
26,cCg,5250,2250,4550
33,cAcb,4100,6500,4550
64,cTC,5050,6350,6550
9,cAI,3250,4400,3300
29,cAI-b,2200,4700,4550
57,cAIP,1450,5050,6550
60,cMDThal,5150,4000,6550
97,cDpMe,4550,3450,8150
86,cAu,1350,2650,8150
91,cBLP,2200,5850,8150
66,cBLA,2500,5900,6550
67,cBMA,3250,7000,6550
65,cCA,3000,5750,6550
30,cCl,2750,4950,4550
92,cPMCo,2750,6600,8150
35,cCPu,3200,4150,5550
115,cPnO,4800,5500,9550
59,cHipp,3950,2100,7550
88,cEct,1100,4150,8650
90,cLEnt,1500,5600,8150
110,cEnt,1600,4850,9550
31,cDEn,2850,5500,4550
58,cEn,2000,5500,6550
114,cIC,4400,3800,9550
61,cLDThal,4350,3250,6550
94,cCauThal,3500,3850,8150
36,cLS,5300,4300,4550
96,cMamm,5400,6150,8150
8,cM1,3450,2700,3300
7,cM2,4800,2200,3300
27,cM,4050,1800,4550
93,cSC,4950,2400,8150
37,cMS,5600,6150,4550
13,cDP,3850,4150,3300
11,cMO,5300,3900,3300
12,cVO,4800,3700,3300
99,cPAG,5300,3050,9200
111,cPS,3050,3300,9550
89,cPRh,1100,4300,8800
32,cPir,2200,6600,6200
10,cPrL,5250,3100,3300
62,cVLThal,5250,5000,6550
53,cRSC,5050,850,6550
84,cRSC-b,5250,850,8150
112,cRSA,4200,1250,9550
63,cVMThal,4150,4150,6550
113,cSuC,4950,1950,9550
34,cot,4100,7250,4550
95,cSN,4150,5250,8150
55,cS2,1650,2850,6550
28,cS1,2200,3050,4550
54,cS1-b,2850,1600,6550
101,cSuM,5450,5650,8150
87,cTeA,950,3650,8550
56,cIns,1300,4400,6550
85,cV,3150,900,8150
109,cV-b,2900,1500,9550
98,cVTA,4850,5250,8150
